v1,v2
promocional,"Pin redondo 3.7cm de marca de snacks saludables para nutricionistas"
coleccionable,"Pin metálico 5.6cm de speedrunner juego récord mundial certificado"
decorativo,"Pin redondo 3.2cm con tostadora con pan sonriente diseño desayuno"
funcional,"Pin metálico 3.7cm con logo de ONG para voluntarios proyectos sociales"
coleccionable,"Pin redondo 3.7cm de artista de DeviantArt edición watchers especial"
decorativo,"Pin metálico 5.6cm con oso polar iceberg diseño cambio climático conciencia"
promocional,"Pin redondo 3.2cm de marca de suplementos fitness para entrenadores"
coleccionable,"Pin metálico 3.7cm de modder de videojuegos comunidad edición custom"
decorativo,"Pin redondo 3.7cm con teléfono rotatorio vintage diseño nostalgia retro"
funcional,"Pin metálico 5.6cm con foto de quinceañera recuerdo fiesta vals 2025"
coleccionable,"Pin redondo 3.2cm de server de Discord edición boost nivel 3"
decorativo,"Pin metálico 3.7cm con castillo medieval dragones diseño fantasía épica"
promocional,"Pin redondo 3.7cm de inmobiliaria para agentes bienes raíces ventas"
coleccionable,"Pin metálico 5.6cm de artista pixel art edición retro gaming limitada"
decorativo,"Pin redondo 3.2cm con robot kawaii corazones diseño tecnología cute"
funcional,"Pin metálico 3.7cm con código de vestidor gimnasio acceso casilleros"
coleccionable,"Pin redondo 3.7cm de fotógrafo profesional exposición galería edición print"
decorativo,"Pin metálico 5.6cm con faro costero atardecer olas rompiendo rocas"
promocional,"Pin redondo 3.2cm de software empresa para desarrolladores conferencia dev"
coleccionable,"Pin metálico 3.7cm de ilustrador freelance cliente corporativo proyecto especial"
decorativo,"Pin redondo 3.7cm con hámster comiendo semilla diseño mascota adorable"
funcional,"Pin metálico 5.6cm con logo de veterinaria para personal clínico turnos"
coleccionable,"Pin redondo 3.2cm de animador 3D showreel demo reel edición portafolio"
decorativo,"Pin metálico 3.7cm con bicicleta eléctrica ciudad diseño movilidad urbana"
promocional,"Pin redondo 3.7cm de cervecería para bartenders mixología competencia"
coleccionable,"Pin metálico 5.6cm de diseñador gráfico Behance proyecto destacado award"
decorativo,"Pin redondo 3.2cm con gafas de sol estilo aviador diseño summer vibes"
funcional,"Pin metálico 3.7cm con nombre de chef para restaurante cocina staff"
coleccionable,"Pin redondo 3.7cm de artista vectorial Adobe Live edición streaming"
decorativo,"Pin metálico 5.6cm con telescopio estrellas galaxia diseño astronomía espacio"
promocional,"Pin redondo 3.2cm de marca de ropa sostenible para embajadores eco"
coleccionable,"Pin metálico 3.7cm de escultor digital ZBrush challenge ganador premio"
decorativo,"Pin redondo 3.7cm con guitarra eléctrica notas musicales diseño rock"
funcional,"Pin metálico 5.6cm con foto de bodas plata aniversario 25 años"
coleccionable,"Pin redondo 3.2cm de concept artist película animación making of"
decorativo,"Pin metálico 3.7cm con maleta vintage etiquetas viaje diseño wanderlust"
promocional,"Pin redondo 3.7cm de consultora para empleados certificación profesional"
coleccionable,"Pin metálico 5.6cm de character designer videojuego art book edición"
decorativo,"Pin redondo 3.2cm con cono de helado colores arcoíris diseño verano"
funcional,"Pin metálico 3.7cm con logo de spa para terapeutas masajistas personal"
coleccionable,"Pin redondo 3.7cm de storyboard artist festival cine premio mejor corto"
decorativo,"Pin metálico 5.6cm con cohete espacial planetas diseño ciencia ficción"
promocional,"Pin redondo 3.2cm de marca de té orgánico para distribuidores tiendas"
coleccionable,"Pin metálico 3.7cm de matte painter película Hollywood créditos producción"
decorativo,"Pin redondo 3.7cm con rana con corona príncipe diseño cuento de hadas"
funcional,"Pin metálico 5.6cm con número de mesa boda recepción asignación invitados"
coleccionable,"Pin redondo 3.2cm de texture artist juego AAA lanzamiento día uno"
decorativo,"Pin metálico 3.7cm con patines vintage años 80 disco roller skating"
promocional,"Pin redondo 3.7cm de escuela de idiomas para profesores método certificado"
coleccionable,"Pin metálico 5.6cm de rigger animación showreel demo best practices"
decorativo,"Pin redondo 3.2cm con donut glaseado chispas colores diseño bakery sweet"
funcional,"Pin metálico 3.7cm con logo de teatro para acomodadores función noche"
coleccionable,"Pin redondo 3.7cm de lighting artist película animación Oscar nominación"
decorativo,"Pin metálico 5.6cm con camaleón rama colores arcoíris diseño reptiles"
promocional,"Pin redondo 3.2cm de automotriz para mecánicos talleres red oficial"
coleccionable,"Pin metálico 3.7cm de compositor música videojuego soundtrack vinilo edición"
decorativo,"Pin redondo 3.7cm con cámara de cine rollo película diseño director"
funcional,"Pin metálico 5.6cm con foto de baby shower recuerdo celebración 2025"
coleccionable,"Pin redondo 3.2cm de VFX artist blockbuster verano efectos especiales créditos"
decorativo,"Pin metálico 3.7cm con paraguas lluvia gotas diseño clima romántico"
promocional,"Pin redondo 3.7cm de clínica dental para higienistas ortodoncistas personal"
coleccionable,"Pin metálico 5.6cm de environment artist mundo abierto game of year"
decorativo,"Pin redondo 3.2cm con erizo espinas hojas otoño diseño bosque animales"
funcional,"Pin metálico 3.7cm con nombre de sommelier para cata de vinos evento"
coleccionable,"Pin redondo 3.7cm de prop artist película ciencia ficción exposición museo"
decorativo,"Pin metálico 5.6cm con brújula antigua mapa del mundo diseño explorador"
promocional,"Pin redondo 3.2cm de marca de joyería para diseñadores colección nueva"
coleccionable,"Pin metálico 3.7cm de technical artist pipeline herramientas GDC conferencia"
decorativo,"Pin redondo 3.7cm con máquina de coser hilo agujas diseño costura craft"
funcional,"Pin metálico 5.6cm con logo de laboratorio para científicos proyecto investigación"
coleccionable,"Pin redondo 3.2cm de cinematic artist trailer reveal game awards premiere"
